Range	Count	Percentage
42.654-42.746	0	0.00%
42.746-42.838	0	0.00%
42.838-42.929	0	0.00%
42.929-43.021	0	0.00%
43.021-43.113	0	0.00%
43.113-43.205	0	0.00%
43.205-43.296	0	0.00%
43.296-43.388	0	0.00%
43.388-43.480	0	0.00%
43.480-43.571	0	0.00%
43.571-43.663	0	0.00%
43.663-43.755	0	0.00%
43.755-43.847	0	0.00%
43.847-43.938	0	0.00%
43.938-44.030	0	0.00%
44.030-44.122	0	0.00%
44.122-44.214	0	0.00%
44.214-44.305	0	0.00%
44.305-44.397	0	0.00%
44.397-44.489	0	0.00%
44.489-44.581	0	0.00%
44.581-44.672	0	0.00%
44.672-44.764	0	0.00%
44.764-44.856	0	0.00%
44.856-44.947	0	0.00%
44.947-45.039	0	0.00%
45.039-45.131	0	0.00%
45.131-45.223	0	0.00%
45.223-45.314	0	0.00%
45.314-45.406	0	0.00%
45.406-45.498	0	0.00%
45.498-45.590	0	0.00%
45.590-45.681	0	0.00%
45.681-45.773	0	0.00%
45.773-45.865	1	0.38%
